,Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air,kluster
1007,359,2019-03-05,jakarta barat,"jakarta barat, kel. rawa buaya",4,0,70,0
1008,359,2019-03-05,jakarta barat,"jakarta barat, kel. rawa buaya",11,0,70,0
1009,360,2019-03-05,jakarta barat,"jakarta barat, kel. cengkareng timur",3,0,50,0
1010,360,2019-03-05,jakarta barat,"jakarta barat, kel. cengkareng timur",4,0,50,0
1011,360,2019-03-05,jakarta barat,"jakarta barat, kel. cengkareng timur",5,0,50,0
1012,360,2019-03-05,jakarta barat,"jakarta barat, kel. cengkareng timur",12,0,50,0
1013,360,2019-03-05,jakarta barat,"jakarta barat, kel. cengkareng timur",13,0,50,0
1014,360,2019-03-05,jakarta barat,"jakarta barat, kel. cengkareng timur",14,0,50,0
1015,360,2019-03-05,jakarta barat,"jakarta barat, kel. cengkareng timur",16,0,50,0
1016,361,2019-03-06,jakarta barat,"jakarta barat, kel. cengkareng timur",3,0,50,0
1017,361,2019-03-06,jakarta barat,"jakarta barat, kel. cengkareng timur",4,0,50,0
1018,361,2019-03-06,jakarta barat,"jakarta barat, kel. cengkareng timur",5,0,50,0
1019,361,2019-03-06,jakarta barat,"jakarta barat, kel. cengkareng timur",12,0,50,0
1020,361,2019-03-06,jakarta barat,"jakarta barat, kel. cengkareng timur",13,0,50,0
1021,361,2019-03-06,jakarta barat,"jakarta barat, kel. cengkareng timur",14,0,50,0
1022,361,2019-03-06,jakarta barat,"jakarta barat, kel. cengkareng timur",16,0,50,0
1023,362,2019-03-05,jakarta barat,"jakarta barat, kel. cengkareng barat",6,0,50,0
1024,362,2019-03-05,jakarta barat,"jakarta barat, kel. cengkareng barat",8,0,50,0
1025,362,2019-03-05,jakarta barat,"jakarta barat, kel. cengkareng barat",9,0,50,0
1026,362,2019-03-05,jakarta barat,"jakarta barat, kel. cengkareng barat",10,0,50,0
1027,362,2019-03-05,jakarta barat,"jakarta barat, kel. cengkareng barat",14,0,50,0
1028,363,2019-03-05,jakarta barat,"jakarta barat, kel. kapuk",1,0,50,0
1029,363,2019-03-05,jakarta barat,"jakarta barat, kel. kapuk",2,0,50,0
