Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air
70,6 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",05,265,100 - 300 cm
70,6 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",06,265,100 - 300 cm
70,6 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",07,265,100 - 300 cm
70,6 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",08,265,100 - 300 cm
70,6 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",12,265,100 - 300 cm
71,5 februari 2018,jakarta selatan,"jakarta selatan, bangka",2,0,30 - 40 cm
72,6 februari 2018,jakarta selatan,"jakarta selatan, bangka",2,0,30 - 40 cm
73,3 februari 2018,jakarta timur,"jakarta timur, rawa terate",04,0,10 - 120 cm
73,3 februari 2018,jakarta timur,"jakarta timur, rawa terate",05,0,10 - 120 cm
74,5 februari 2018,jakarta timur,"jakarta timur, rawa terate",04,0,10 - 120 cm
74,5 februari 2018,jakarta timur,"jakarta timur, rawa terate",05,0,10 - 120 cm
75,6 februari 2018,jakarta timur,"jakarta timur, rawa terate",04,0,10 - 120 cm
75,6 februari 2018,jakarta timur,"jakarta timur, rawa terate",05,0,10 - 120 cm
76,15 februari 2018,jakarta timur,"jakarta timur, rawa terate",04,0,10 - 120 cm
76,15 februari 2018,jakarta timur,"jakarta timur, rawa terate",05,0,10 - 120 cm
77,16 februari 2018,jakarta timur,"jakarta timur, rawa terate",04,0,10 - 120 cm
77,16 februari 2018,jakarta timur,"jakarta timur, rawa terate",05,0,10 - 120 cm
78,17 februari 2018,jakarta timur,"jakarta timur, rawa terate",04,0,10 - 120 cm
78,17 februari 2018,jakarta timur,"jakarta timur, rawa terate",05,0,10 - 120 cm
79,15 februari 2018,jakarta timur,"jakarta timur, cakung barat",03,56,30 - 70 cm
79,15 februari 2018,jakarta timur,"jakarta timur, cakung barat",07,56,30 - 70 cm
79,15 februari 2018,jakarta timur,"jakarta timur, cakung barat",08,56,30 - 70 cm
80,16 februari 2018,jakarta timur,"jakarta timur, cakung barat",03,56,30 - 70 cm
80,16 februari 2018,jakarta timur,"jakarta timur, cakung barat",07,56,30 - 70 cm
80,16 februari 2018,jakarta timur,"jakarta timur, cakung barat",08,56,30 - 70 cm
81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",01,0,10 - 30 cm
81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",02,0,10 - 30 cm
81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",03,0,10 - 30 cm
81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",05,0,10 - 30 cm
81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",06,0,10 - 30 cm
81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",07,0,10 - 30 cm
81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",08,0,10 - 30 cm
81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",11,0,10 - 30 cm
81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",14,0,10 - 30 cm
82,3 februari 2018,jakarta timur,"jakarta timur, kampung melayu",01,3074,10 - 220 cm
82,3 februari 2018,jakarta timur,"jakarta timur, kampung melayu",02,3074,10 - 220 cm
82,3 februari 2018,jakarta timur,"jakarta timur, kampung melayu",04,3074,10 - 220 cm
82,3 februari 2018,jakarta timur,"jakarta timur, kampung melayu",05,3074,10 - 220 cm
82,3 februari 2018,jakarta timur,"jakarta timur, kampung melayu",06,3074,10 - 220 cm
82,3 februari 2018,jakarta timur,"jakarta timur, kampung melayu",07,3074,10 - 220 cm
82,3 februari 2018,jakarta timur,"jakarta timur, kampung melayu",08,3074,10 - 220 cm
83,5 februari 2018,jakarta timur,"jakarta timur, kampung melayu",01,3074,10 - 220 cm
83,5 februari 2018,jakarta timur,"jakarta timur, kampung melayu",02,3074,10 - 220 cm
83,5 februari 2018,jakarta timur,"jakarta timur, kampung melayu",04,3074,10 - 220 cm
83,5 februari 2018,jakarta timur,"jakarta timur, kampung melayu",05,3074,10 - 220 cm
83,5 februari 2018,jakarta timur,"jakarta timur, kampung melayu",06,3074,10 - 220 cm
83,5 februari 2018,jakarta timur,"jakarta timur, kampung melayu",07,3074,10 - 220 cm
83,5 februari 2018,jakarta timur,"jakarta timur, kampung melayu",08,3074,10 - 220 cm
84,6 februari 2018,jakarta timur,"jakarta timur, kampung melayu",01,3074,10 - 220 cm
84,6 februari 2018,jakarta timur,"jakarta timur, kampung melayu",02,3074,10 - 220 cm
84,6 februari 2018,jakarta timur,"jakarta timur, kampung melayu",04,3074,10 - 220 cm
