,Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air
281,81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",6,0,10 - 30 
282,81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",7,0,10 - 30 
283,81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",8,0,10 - 30 
284,81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",11,0,10 - 30 
285,81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",14,0,10 - 30 
286,82,3 februari 2018,jakarta timur,"jakarta timur, kampung melayu",1,3074,10 - 220 
287,82,3 februari 2018,jakarta timur,"jakarta timur, kampung melayu",2,3074,10 - 220 
288,82,3 februari 2018,jakarta timur,"jakarta timur, kampung melayu",4,3074,10 - 220 
289,82,3 februari 2018,jakarta timur,"jakarta timur, kampung melayu",5,3074,10 - 220 
290,82,3 februari 2018,jakarta timur,"jakarta timur, kampung melayu",6,3074,10 - 220 
291,82,3 februari 2018,jakarta timur,"jakarta timur, kampung melayu",7,3074,10 - 220 
292,82,3 februari 2018,jakarta timur,"jakarta timur, kampung melayu",8,3074,10 - 220 
293,83,5 februari 2018,jakarta timur,"jakarta timur, kampung melayu",1,3074,10 - 220 
294,83,5 februari 2018,jakarta timur,"jakarta timur, kampung melayu",2,3074,10 - 220 
295,83,5 februari 2018,jakarta timur,"jakarta timur, kampung melayu",4,3074,10 - 220 
296,83,5 februari 2018,jakarta timur,"jakarta timur, kampung melayu",5,3074,10 - 220 
297,83,5 februari 2018,jakarta timur,"jakarta timur, kampung melayu",6,3074,10 - 220 
298,83,5 februari 2018,jakarta timur,"jakarta timur, kampung melayu",7,3074,10 - 220 
299,83,5 februari 2018,jakarta timur,"jakarta timur, kampung melayu",8,3074,10 - 220 
300,84,6 februari 2018,jakarta timur,"jakarta timur, kampung melayu",1,3074,10 - 220 
301,84,6 februari 2018,jakarta timur,"jakarta timur, kampung melayu",2,3074,10 - 220 
302,84,6 februari 2018,jakarta timur,"jakarta timur, kampung melayu",4,3074,10 - 220 
