,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air,tahun
272,2018-02-15,jakarta timur,"jakarta timur, cakung barat",7,56,70,2018
273,2018-02-15,jakarta timur,"jakarta timur, cakung barat",8,56,70,2018
274,2018-02-16,jakarta timur,"jakarta timur, cakung barat",3,56,70,2018
275,2018-02-16,jakarta timur,"jakarta timur, cakung barat",7,56,70,2018
276,2018-02-16,jakarta timur,"jakarta timur, cakung barat",8,56,70,2018
277,2018-02-15,jakarta timur,"jakarta timur, jatinegara",1,0,30,2018
278,2018-02-15,jakarta timur,"jakarta timur, jatinegara",2,0,30,2018
279,2018-02-15,jakarta timur,"jakarta timur, jatinegara",3,0,30,2018
280,2018-02-15,jakarta timur,"jakarta timur, jatinegara",5,0,30,2018
281,2018-02-15,jakarta timur,"jakarta timur, jatinegara",6,0,30,2018
282,2018-02-15,jakarta timur,"jakarta timur, jatinegara",7,0,30,2018
283,2018-02-15,jakarta timur,"jakarta timur, jatinegara",8,0,30,2018
284,2018-02-15,jakarta timur,"jakarta timur, jatinegara",11,0,30,2018
285,2018-02-15,jakarta timur,"jakarta timur, jatinegara",14,0,30,2018
286,2018-02-03,jakarta timur,"jakarta timur, kampung melayu",1,3074,220,2018
287,2018-02-03,jakarta timur,"jakarta timur, kampung melayu",2,3074,220,2018
288,2018-02-03,jakarta timur,"jakarta timur, kampung melayu",4,3074,220,2018
289,2018-02-03,jakarta timur,"jakarta timur, kampung melayu",5,3074,220,2018
290,2018-02-03,jakarta timur,"jakarta timur, kampung melayu",6,3074,220,2018
291,2018-02-03,jakarta timur,"jakarta timur, kampung melayu",7,3074,220,2018
292,2018-02-03,jakarta timur,"jakarta timur, kampung melayu",8,3074,220,2018
293,2018-02-05,jakarta timur,"jakarta timur, kampung melayu",1,3074,220,2018
294,2018-02-05,jakarta timur,"jakarta timur, kampung melayu",2,3074,220,2018
295,2018-02-05,jakarta timur,"jakarta timur, kampung melayu",4,3074,220,2018
296,2018-02-05,jakarta timur,"jakarta timur, kampung melayu",5,3074,220,2018
297,2018-02-05,jakarta timur,"jakarta timur, kampung melayu",6,3074,220,2018
298,2018-02-05,jakarta timur,"jakarta timur, kampung melayu",7,3074,220,2018
299,2018-02-05,jakarta timur,"jakarta timur, kampung melayu",8,3074,220,2018
300,2018-02-06,jakarta timur,"jakarta timur, kampung melayu",1,3074,220,2018
301,2018-02-06,jakarta timur,"jakarta timur, kampung melayu",2,3074,220,2018
302,2018-02-06,jakarta timur,"jakarta timur, kampung melayu",4,3074,220,2018
303,2018-02-06,jakarta timur,"jakarta timur, kampung melayu",5,3074,220,2018
304,2018-02-06,jakarta timur,"jakarta timur, kampung melayu",6,3074,220,2018
305,2018-02-06,jakarta timur,"jakarta timur, kampung melayu",7,3074,220,2018
306,2018-02-06,jakarta timur,"jakarta timur, kampung melayu",8,3074,220,2018
307,2018-02-07,jakarta timur,"jakarta timur, kampung melayu",1,3074,220,2018
308,2018-02-07,jakarta timur,"jakarta timur, kampung melayu",2,3074,220,2018
309,2018-02-07,jakarta timur,"jakarta timur, kampung melayu",4,3074,220,2018
310,2018-02-07,jakarta timur,"jakarta timur, kampung melayu",5,3074,220,2018
311,2018-02-07,jakarta timur,"jakarta timur, kampung melayu",6,3074,220,2018
312,2018-02-07,jakarta timur,"jakarta timur, kampung melayu",7,3074,220,2018
313,2018-02-07,jakarta timur,"jakarta timur, kampung melayu",8,3074,220,2018
314,2018-02-08,jakarta timur,"jakarta timur, kampung melayu",1,3074,220,2018
315,2018-02-08,jakarta timur,"jakarta timur, kampung melayu",2,3074,220,2018
316,2018-02-08,jakarta timur,"jakarta timur, kampung melayu",4,3074,220,2018
317,2018-02-08,jakarta timur,"jakarta timur, kampung melayu",5,3074,220,2018
318,2018-02-08,jakarta timur,"jakarta timur, kampung melayu",6,3074,220,2018
319,2018-02-08,jakarta timur,"jakarta timur, kampung melayu",7,3074,220,2018
320,2018-02-08,jakarta timur,"jakarta timur, kampung melayu",8,3074,220,2018
321,2018-02-13,jakarta timur,"jakarta timur, kampung melayu",1,3074,220,2018
322,2018-02-13,jakarta timur,"jakarta timur, kampung melayu",2,3074,220,2018
323,2018-02-13,jakarta timur,"jakarta timur, kampung melayu",4,3074,220,2018
324,2018-02-13,jakarta timur,"jakarta timur, kampung melayu",5,3074,220,2018
325,2018-02-13,jakarta timur,"jakarta timur, kampung melayu",6,3074,220,2018
326,2018-02-13,jakarta timur,"jakarta timur, kampung melayu",7,3074,220,2018
327,2018-02-13,jakarta timur,"jakarta timur, kampung melayu",8,3074,220,2018
328,2018-02-26,jakarta timur,"jakarta timur, kampung melayu",1,3074,220,2018
